main path	classification	rewrite mapping	status	notes
.github/workflows/check.yml	.github/workflows/check.yml	audited	ported	Restored the same generated-flake and flake-check CI workflow.
.gitignore	.gitignore	audited	identical	Byte-identical.
.pre-commit-config.yaml	.pre-commit-config.yaml	audited	identical	Byte-identical.
AGENTS.md	docs/architecture.md; docs/migration-status.md	intentional documentation replacement	The old descriptor-oriented contributor guide is superseded by current broadcast architecture documentation.
HOST_FAMILIES.md	docs/architecture.md	intentional documentation replacement	The host-family model is documented against the current direct-host architecture.
LICENSE	LICENSE	audited	ported	GPL-3 license restored.
README.md	README.md	intentional documentation replacement	The README now describes the broadcast-and-gate model instead of the old descriptor migration direction.
WORKING_MODEL.md	docs/architecture.md; docs/migration-status.md	intentional documentation replacement	Current architecture/migration records replace the obsolete inventory-and-descriptor working-model note.
flake.lock	flake.lock	audited	intentional input changes	Lock reflects the generic-kernel Pi choice, input-module colocation, and Determinate SSH fix trial.
flake.nix	flake.nix	audited	ported	Regenerated from Dendritic declarations; restored description while retaining intentional input changes.
justfile	justfile	audited	ported	All main recipes remain; audit-reference and audit-diff are additive maintenance helpers.
modules/dendritic/dendritic.nix	root Dendritic flake module	modules/dendritic/dendritic.nix	rewrite validated	Same flake-file/Dendritic bootstrap, inputs, systems, and import-tree output expression; the nix-auto-follow helper is colocated here.
modules/dendritic/metadata.nix	root Dendritic metadata	modules/dendritic/dendritic.nix	rewrite validated	Same flake description is consolidated with the root Dendritic wiring.
modules/dendritic/prune-lock.nix	root Dendritic helper	modules/dendritic/dendritic.nix	rewrite validated	Same nix-auto-follow flake module is consolidated with the Dendritic wiring.
modules/devshell.nix	development shell	devshell.nix	rewrite validated	The default shell retains just and pre-commit.
modules/home-manager/atuin/atuin.nix	wrapper/payload split	modules/home/atuin/_content.nix	main and rewrite validated	The rewrite retains main's evaluated import edges: the personal-profile laptop homes and the Atlas Atuin service host; generated Atuin settings hashes match.
modules/home-manager/bash/bash.nix	wrapper/payload split	modules/home/bash/_content.nix	main and rewrite validated	The rewrite passes only its Steam Deck predicate and profile path; Zaphod’s generated Bash initialization hash matches main exactly.
modules/home-manager/codex/_codex.nix	WSL payload adaptation	modules/platforms/wsl/wsl-work-home/codex/_content.nix	config file verified	The rewrite’s generated WSL Home Manager files include `.codex/config.toml`; main WSL evaluation is blocked by an unrelated unset calendar option.
modules/home-manager/codex/codex.nix	flake-input wrapper	modules/platforms/wsl/wsl-work-home/codex/codex.nix	main and rewrite structural review complete	The rewrite’s public WSL work Codex module now contains only Codex input wiring and imports the private `_content.nix` payload.
modules/home-manager/context/host-context.nix	Home Manager host-context option layer	modules/system/host-context/host-context.nix	intentional broadcast architecture	Host facts are declared once at NixOS level and consumed by broadcast Home Manager modules, avoiding a duplicate option schema while preserving the derived host predicates.
modules/home-manager/context/secrets.nix	Home Manager secret-path context options	modules/system/nix/secrets/_content.nix	intentional broadcast architecture	Secret consumers receive sops-nix paths from the NixOS/Home Manager integration instead of a separate Home Manager-only context schema.
